SCH_ID,REGION,DISTRICT,TEHSIL,UC,SCH_PREFIX,SCH_NAME,STATUS,SCH_LEVEL,SCH_GENDER,LONGITUDE,LATITUDE
401020453,Hyderabad,Badin,Golarchi-S.F.Rao,Tarai,GBPS,SAMOO OTHO,Closed Temporary,Primary,Boys,68.6383,24.6847
401020459,Hyderabad,Badin,Golarchi-S.F.Rao,Tarai,GBPS,MUHAMMAD ESSA BROHI,Functional,Primary,Mixed,68.6006,24.6417
401020460,Hyderabad,Badin,Golarchi-S.F.Rao,Tarai,GBPS,UMAD ALI MALLAH,Functional,Primary,Mixed,68.6678,24.6792
401020461,Hyderabad,Badin,Golarchi-S.F.Rao,Tarai,GBPS,ALLAH JURIO MEMON,Functional,Primary,Mixed,68.6431,24.7086
401020462,Hyderabad,Badin,Golarchi-S.F.Rao,Rahuki,GBPS,ALLAN KHAN NIZAMANI,Functional,Primary,Mixed,68.6658,24.7733
401020463,Hyderabad,Badin,Golarchi-S.F.Rao,Rahuki,GBPS,GHULAM MUHAMMAD CHANG,Functional,Primary,Mixed,68.6735,24.8069
401020464,Hyderabad,Badin,Golarchi-S.F.Rao,Tarai,GBPS,ALLAH BUX MEMON,Functional,Primary,Mixed,68.6586,24.6603
401010265,Hyderabad,Badin,Badin,Kadi Kazia,GBPS,SAWAN CHANDIO @ ABDUL RAHIM NIZAMAN,Functional,Primary,Mixed,68.8053,24.7331
401020107,Hyderabad,Badin,Golarchi-S.F.Rao,Golarchi-S.F.Rao-Tc,GGPS,MALIK SAIF REHMAN,Functional,Primary,Girls,68.5683,24.6406
401020108,Hyderabad,Badin,Golarchi-S.F.Rao,Golarchi-S.F.Rao-Tc,GGPS,MUHAMMAD IBRAHIM KHOKHAR,Functional,Primary,Girls,68.5475,24.6483
401020110,Hyderabad,Badin,Golarchi-S.F.Rao,Golarchi-S.F.Rao-Tc,GGPS,CHAK NO. 25,Functional,Primary,Girls,68.5014,24.6494
401020111,Hyderabad,Badin,Golarchi-S.F.Rao,Golarchi-S.F.Rao-Tc,GGPS,CHAK NO. 58,Functional,Primary,Girls,68.5089,24.6189
401020123,Hyderabad,Badin,Golarchi-S.F.Rao,Dubi,GGPS,CHAK NO. 24,Functional,Primary,Girls,68.5231,24.6833
401020126,Hyderabad,Badin,Golarchi-S.F.Rao,Golarchi-S.F.Rao-Tc,GGPS,MUHAMMAD BUX JATOI,Functional,Primary,Girls,68.5433,24.6675
401020155,Hyderabad,Badin,Golarchi-S.F.Rao,Golarchi-S.F.Rao-Tc,GGPS,WARD NO. 04 GOLARCHI,Functional,Primary,Girls,68.5333,24.6456
401020156,Hyderabad,Badin,Golarchi-S.F.Rao,Golarchi-S.F.Rao-Tc,GGPS,MASOO KHAN TALPUR,Functional,Primary,Girls,68.5472,24.6764
401020157,Hyderabad,Badin,Golarchi-S.F.Rao,Golarchi-S.F.Rao-Tc,GGPS,IBRAHIM ARAIN,Functional,Primary,Girls,68.5046,24.5762
401020158,Hyderabad,Badin,Golarchi-S.F.Rao,Golarchi-S.F.Rao-Tc,GGPS,MANRO MAL MAKWANA,Functional,Primary,Girls,68.5351,24.6581
401020159,Hyderabad,Badin,Golarchi-S.F.Rao,Golarchi-S.F.Rao-Tc,GGPS,ABDUL HAKEEM CHANG,Functional,Primary,Girls,68.5364,24.6286
401020160,Hyderabad,Badin,Golarchi-S.F.Rao,Golarchi-S.F.Rao-Tc,GGPS,CHAK NO: 3,Closed Temporary,Primary,Girls,68.5178,24.5869
401020270,Hyderabad,Badin,Golarchi-S.F.Rao,GOLARCHI-Tc,GBPS,MUHAMMAD HASHIM SAMEJO,Functional,Primary,Mixed,68.5189,24.655
401020272,Hyderabad,Badin,Golarchi-S.F.Rao,Kario Ghanwar,GBPS,KHUSHI MUHAMMAD CHAUDHRY,Functional,Primary,Mixed,68.5458,24.6153
401020274,Hyderabad,Badin,Golarchi-S.F.Rao,GOLARCHI-Tc,GBPS,CHAK NO. 34 AT ASGHAR ALI GUJAR,Functional,Primary,Boys,68.5636,24.5939
